num_cars,sim_id,num_accidents,any_accident
1,1,0,false
1,2,0,false
1,3,0,false
1,4,0,false
1,5,0,false
1,6,0,false
1,7,0,false
1,8,0,false
1,9,0,false
1,10,0,false
1,11,0,false
1,12,0,false
1,13,0,false
1,14,0,false
1,15,0,false
1,16,0,false
1,17,0,false
1,18,0,false
1,19,0,false
1,20,0,false
1,21,0,false
1,22,0,false
1,23,0,false
1,24,0,false
1,25,0,false
1,26,0,false
1,27,0,false
1,28,0,false
1,29,0,false
1,30,0,false
1,31,0,false
1,32,0,false
1,33,0,false
1,34,0,false
1,35,0,false
1,36,0,false
1,37,0,false
1,38,0,false
1,39,0,false
1,40,0,false
1,41,0,false
1,42,0,false
1,43,0,false
1,44,0,false
1,45,0,false
1,46,0,false
1,47,0,false
1,48,0,false
1,49,0,false
1,50,0,false
1,51,0,false
1,52,0,false
1,53,0,false
1,54,0,false
1,55,0,false
1,56,0,false
1,57,0,false
1,58,0,false
1,59,0,false
1,60,0,false
1,61,0,false
1,62,0,false
1,63,0,false
1,64,0,false
1,65,0,false
1,66,0,false
1,67,0,false
1,68,0,false
1,69,0,false
1,70,0,false
1,71,0,false
1,72,0,false
1,73,0,false
1,74,0,false
1,75,0,false
1,76,0,false
1,77,0,false
1,78,0,false
1,79,0,false
1,80,0,false
1,81,0,false
1,82,0,false
1,83,0,false
1,84,0,false
1,85,0,false
1,86,0,false
1,87,0,false
1,88,0,false
1,89,0,false
1,90,0,false
1,91,0,false
1,92,0,false
1,93,0,false
1,94,0,false
1,95,0,false
1,96,0,false
1,97,0,false
1,98,0,false
1,99,0,false
1,100,0,false
2,1,0,false
2,2,0,false
2,3,0,false
2,4,0,false
2,5,0,false
2,6,0,false
2,7,0,false
2,8,0,false
2,9,0,false
2,10,0,false
2,11,0,false
2,12,0,false
2,13,0,false
2,14,0,false
2,15,0,false
2,16,0,false
2,17,0,false
2,18,0,false
2,19,0,false
2,20,0,false
2,21,0,false
2,22,0,false
2,23,0,false
2,24,0,false
2,25,0,false
2,26,0,false
2,27,0,false
2,28,0,false
2,29,0,false
2,30,0,false
2,31,0,false
2,32,0,false
2,33,0,false
2,34,0,false
2,35,0,false
2,36,0,false
2,37,0,false
2,38,0,false
2,39,0,false
2,40,0,false
2,41,0,false
2,42,0,false
2,43,0,false
2,44,0,false
2,45,0,false
2,46,0,false
2,47,2,true
2,48,0,false
2,49,0,false
2,50,0,false
2,51,0,false
2,52,0,false
2,53,0,false
2,54,0,false
2,55,0,false
2,56,0,false
2,57,0,false
2,58,0,false
2,59,0,false
2,60,0,false
2,61,0,false
2,62,0,false
2,63,0,false
2,64,0,false
2,65,0,false
2,66,0,false
2,67,0,false
2,68,0,false
2,69,0,false
2,70,0,false
2,71,0,false
2,72,0,false
2,73,0,false
2,74,0,false
2,75,0,false
2,76,0,false
2,77,0,false
2,78,0,false
2,79,0,false
2,80,0,false
2,81,0,false
2,82,0,false
2,83,0,false
2,84,0,false
2,85,0,false
2,86,0,false
2,87,0,false
2,88,0,false
2,89,0,false
2,90,0,false
2,91,0,false
2,92,0,false
2,93,0,false
2,94,0,false
2,95,0,false
2,96,0,false
2,97,0,false
2,98,0,false
2,99,0,false
2,100,0,false
3,1,0,false
3,2,0,false
3,3,0,false
3,4,0,false
3,5,0,false
3,6,0,false
3,7,0,false
3,8,0,false
3,9,0,false
3,10,0,false
3,11,0,false
3,12,0,false
3,13,0,false
3,14,0,false
3,15,0,false
3,16,0,false
3,17,0,false
3,18,0,false
3,19,0,false
3,20,0,false
3,21,0,false
3,22,0,false
3,23,0,false
3,24,0,false
3,25,0,false
3,26,0,false
3,27,0,false
3,28,0,false
3,29,2,true
3,30,0,false
3,31,0,false
3,32,0,false
3,33,0,false
3,34,0,false
3,35,0,false
3,36,0,false
3,37,0,false
3,38,0,false
3,39,0,false
3,40,0,false
3,41,0,false
3,42,0,false
3,43,0,false
3,44,0,false
3,45,0,false
3,46,0,false
3,47,0,false
3,48,0,false
3,49,0,false
3,50,0,false
3,51,0,false
